"","sim_id","step","individuals","present_species","shannon","patch_individuals_mean","patch_species_mean","patch_shannon_mean","sample_individuals_mean","sample_species_mean","sample_shannon_mean","habitat","fragmentation"
"114","job1_sim2",14,64147,952,6.54657659248517,64147,952,6.54657659248517,0,0,0,1,0
"115","job1_sim2",15,77701,950,6.53118786976152,77701,950,6.53118786976152,0,0,0,1,0
"116","job1_sim2",16,90618,950,6.51218468616573,90618,950,6.51218468616573,0,0,0,1,0
"117","job1_sim2",17,99787,951,6.50473894033301,99787,951,6.50473894033301,0,0,0,1,0
"118","job1_sim2",18,104962,950,6.49907539857327,104962,950,6.49907539857327,0,0,0,1,0
"119","job1_sim2",19,107680,949,6.49470469468554,107680,949,6.49470469468554,0,0,0,1,0
"120","job1_sim2",20,109984,947,6.49259093007883,109984,947,6.49259093007883,0,0,0,1,0
"121","job1_sim2",21,110560,947,6.49085655596145,110560,947,6.49085655596145,0,0,0,1,0
"122","job1_sim2",22,111282,947,6.48752379633954,111282,947,6.48752379633954,0,0,0,1,0
"123","job1_sim2",23,111889,945,6.48714785594178,111889,945,6.48714785594178,0,0,0,1,0
"124","job1_sim2",24,112073,943,6.48685126075375,112073,943,6.48685126075375,0,0,0,1,0
"125","job1_sim2",25,111808,943,6.48469652090061,111808,943,6.48469652090061,0,0,0,1,0
"126","job1_sim2",26,111890,940,6.48274039199677,111890,940,6.48274039199677,0,0,0,1,0
"127","job1_sim2",27,112101,939,6.48108178625127,112101,939,6.48108178625127,0,0,0,1,0
"128","job1_sim2",28,112217,936,6.47868525914366,112217,936,6.47868525914366,0,0,0,1,0
"129","job1_sim2",29,112463,932,6.4734454546047,112463,932,6.4734454546047,0,0,0,1,0
"130","job1_sim2",30,112199,932,6.47379282132433,112199,932,6.47379282132433,0,0,0,1,0
"131","job1_sim2",31,112518,931,6.47165788051505,112518,931,6.47165788051505,0,0,0,1,0
"132","job1_sim2",32,112546,931,6.47053573664842,112546,931,6.47053573664842,0,0,0,1,0
"133","job1_sim2",33,112074,928,6.46587131628712,112074,928,6.46587131628712,0,0,0,1,0
"134","job1_sim2",34,112521,925,6.46355993657405,112521,925,6.46355993657405,0,0,0,1,0
"135","job1_sim2",35,112447,925,6.46051199890846,112447,925,6.46051199890846,0,0,0,1,0
"136","job1_sim2",36,112402,923,6.46093419427935,112402,923,6.46093419427935,0,0,0,1,0
"137","job1_sim2",37,112362,921,6.45843293081096,112362,921,6.45843293081096,0,0,0,1,0
"138","job1_sim2",38,112358,921,6.45601367016725,112358,921,6.45601367016725,0,0,0,1,0
"139","job1_sim2",39,112360,919,6.4533361670162,112360,919,6.4533361670162,0,0,0,1,0
"140","job1_sim2",40,111981,917,6.45041836054668,111981,917,6.45041836054668,0,0,0,1,0
"141","job1_sim2",41,16889,851,6.36861678352999,108.262820512821,48.4871794871795,3.60015160678779,44.9175531914894,32.6117021276596,3.37047496948515,0.15,0.9
"142","job1_sim2",42,15750,842,6.34764876542619,100.961538461538,43.5641025641026,3.47698988837753,41.8882978723404,29.6941489361702,3.26918899672,0.15,0.9
"143","job1_sim2",43,14781,833,6.32817527244617,94.75,39.6987179487179,3.36136747531411,39.311170212766,27.4148936170213,3.18105932472236,0.15,0.9
"144","job1_sim2",44,14001,819,6.30936202438675,89.75,36.3589743589744,3.25150728235954,37.2367021276596,25.6702127659574,3.10510111526613,0.15,0.9
"145","job1_sim2",45,13247,806,6.28356526474753,84.9166666666667,33.3653846153846,3.13852105485859,35.2313829787234,24.0505319148936,3.02804584618432,0.15,0.9
"146","job1_sim2",46,12672,795,6.25454933155849,81.2307692307692,30.8012820512821,3.03446725382297,33.7021276595745,22.8377659574468,2.96535076014727,0.15,0.9
"147","job1_sim2",47,11940,780,6.22507803268611,76.5384615384615,28.6346153846154,2.93660717359056,31.7553191489362,21.4787234042553,2.89270221125321,0.15,0.9
"148","job1_sim2",48,11399,756,6.19686167249641,73.0705128205128,26.8205128205128,2.84673457911714,30.3164893617021,20.4255319148936,2.83069469924774,0.15,0.9
"149","job1_sim2",49,10864,744,6.17026707881196,69.6410256410256,24.8333333333333,2.7513742116832,28.8936170212766,19.4920212765957,2.76975963733371,0.15,0.9
"150","job1_sim2",50,10382,735,6.14380440274003,66.5512820512821,23.275641025641,2.6499190504847,27.6117021276596,18.5877659574468,2.70456764906408,0.15,0.9
"151","job1_sim2",51,10009,719,6.11100877791268,64.1602564102564,22.025641025641,2.56523258162074,26.6196808510638,17.8031914893617,2.64626899246081,0.15,0.9
"152","job1_sim2",52,9608,704,6.08774970417887,61.5897435897436,20.7820512820513,2.48229236741881,25.5531914893617,17.1303191489362,2.58610499523536,0.15,0.9
